MAIN_ID,ra,dec,pmRA,pmDE,Vmag,Umag
HD  75811,133.1007563512779,+05.3403052582435,-2.144,-7.864,6.350,
BD+47  2951,298.7094188391588,+47.7527649049126,1.489,-2.758,6.70,
HD  13690,033.7188165275561,+48.7823897076768,4.148,-15.497,6.73,
HD 150698,250.9643112637258,-26.8089434174337,-19.645,-101.678,6.71,
HD 221835,353.8836324655164,-07.4644309061280,-0.192,17.253,6.407,
HD 195922,308.4737905872836,+10.0597545581889,-3.487,6.197,6.536,
HD 146349,245.00192729,-64.64881506,-16.09,-32.81,6.850,
V* BS Scl,352.1051221397684,-25.4205428769368,-27.827,-16.998,6.90,
V* V951 Sco,268.4922309485011,-34.8310577935604,3.769,-5.637,6.42,
*  54 Cam,120.6490979439761,+57.2736287281894,-36.753,-59.912,6.49,
HD   5608,014.5592458271075,+33.9508842540386,36.419,-71.265,5.980,
* b Cap,322.1808362504,-21.8071806700,134.83,-5.73,4.50,6.00
HD 111884,193.2673499288478,-54.9524729723464,-97.437,4.247,5.908,
HD  50445,102.9267554392660,-36.2302708240496,-40.746,-60.288,5.940,
V* V1743 Cyg,293.4233569204893,+49.2623182133896,2.663,-11.705,5.96,9.37
*  10 Cet,006.6558960800,-00.0495311822,71.52,2.06,6.192,
HD  13121,028.9249258991618,-84.7511540974810,16.209,3.256,6.97,
HD 194220A,305.7313854097471,+42.9835422157061,54.905,43.857,6.30,
HD 112235,193.7962092342962,+03.0493145621754,-10.182,37.879,6.95,
HD 211607,334.5170153592560,+13.9503222620740,75.129,-15.461,6.85,
HD  62412,115.7006352511821,-26.3513256907392,-3.274,-30.150,5.628,
HD 197562,310.9486343584512,+23.7911110403696,11.241,-2.582,6.930,6.640
HD  74146,129.9899984633623,-53.0547221982785,-25.431,22.318,5.19,4.48
HD  28413,066.2722365878366,-61.2381911345251,-18.89,22.35,5.922,
HD 139461,234.6669187509173,-08.7914461100209,46.496,-40.828,6.48,
HD 142596,238.9261398250978,-08.6476460650578,1.479,-61.508,6.98,
HD  98022,168.9736686161601,-47.9208562554862,-19.547,-10.244,6.55,
[SC93] 106,093.75,+03.95,,,6.42,
HD 184787,293.5757945538394,+41.9272187777997,11.271,-7.964,6.676,
HD 181409,289.7655858847874,+33.3888087450262,-11.93,-33.80,6.586,5.51
HD 116177,200.5266761786918,-14.4198733002093,5.246,-44.765,6.84,
HD 157911,261.1636514232279,+32.6703789471532,-0.583,15.140,6.68,
* z02 Car,167.1416558058780,-61.9471738862381,-6.286,1.459,5.19,4.96
V* S Car,152.3412252842752,-61.5490085844133,-94.237,76.811,5.71,9.38
* ups Peg,351.3449312692,+23.4041001647,192.19,36.12,4.40,5.15
HD 111930,193.3054164836520,-39.3902245718159,1.865,-3.499,6.85,
HD 217590,345.4315854828676,+03.5309079395172,31.562,-52.353,6.45,
HD 134060,227.6864291427254,-61.4223226538786,-185.588,-12.086,6.285,
HD 135061,228.1965515357903,+10.7023064062196,-36.551,-64.415,6.50,
HD 191829,303.5792639127876,-52.4457710301685,26.625,-52.954,5.632,
*  25 Her,246.3507007233400,+37.3940499320311,4.878,-16.063,5.540,5.790
HD 155231,257.5648207226641,+00.4816186818645,-12.782,2.617,6.84,
HD 210000,331.8970761532876,-14.4907580725651,61.27,-26.23,6.71,
HD 124517,213.45608199,+11.99774525,-15.97,-28.28,6.71,
HD 145782,243.9574905954646,-57.9123500654440,-12.457,-49.648,5.622,
HD 144204,240.5231906816187,+52.9159360691369,2.648,-35.525,5.902,
HD 189567,301.3865218199929,-67.3208969062228,845.346,-674.028,6.07,6.79
V* V400 Vul,310.1761066407040,+26.0791914449444,19.99,-19.68,6.75,
HD    565,002.4671495757026,-62.2967941718534,16.360,17.719,6.33,
HD 122768,210.8416093275331,+22.4957552153451,-17.162,-19.000,6.858,
HD 211726,335.1511401630346,-57.5097820165776,25.711,-8.207,6.396,
* mu. Gem,095.74011193,+22.51358275,56.39,-110.03,2.87,6.37
* gam02 Cae,076.10898742,-35.70510640,28.39,41.71,6.314,
HD  85829,149.0250750749821,+52.2689829824908,-33.920,-34.025,6.62,
HD 150608,250.9483075798761,-38.1563539023685,-10.240,-44.051,6.046,
HD  24395,058.9432119231956,+56.9190224149458,27.170,-30.526,6.920,7.370
HR  6178,249.7717795360646,-37.2173762817403,-12.883,-44.565,5.914,
HD  44323,094.9206545325404,-34.3965904048141,4.400,1.337,5.749,
HD 190429,300.87249522,+36.02514116,-3.43,-7.46,6.63,5.98
[SC96] Mis  715,267.60,-34.37,,,6.87,
HD  36136,081.9368713185565,-39.2219229834148,0.303,-1.412,6.85,
V* T TrA,227.4022900425742,-68.7214222883164,-34.163,-33.576,6.832,
HD 154153,256.4519197698535,-44.1050455637394,30.735,17.175,6.178,
HD 175156,283.6796427658,-15.6030376767,-1.67,-6.43,5.086,
V* IM Peg,343.2594412297758,+16.8411920762894,-20.719,-26.851,5.890,
HD  35656,081.6617905949255,+06.8686588985362,9.167,-32.465,6.399,
*  36 Dor,088.5252346936153,-63.0897767396065,118.57,572.93,4.66,
* c02 Aqr,347.3616533858,-21.1724114492,55.40,30.49,3.64,6.09
HD  21743B,052.8328922368015,+27.5717804840584,38.561,-31.966,6.92,
HD 119629,206.3638375195068,-48.7916603044606,-143.624,27.962,6.762,
HD 142661,238.97744344,-02.16440770,-86.67,-61.03,7.0,
HD  26549,062.8566775621365,-15.9684414921075,-0.783,10.763,6.98,
HD  74686,131.3471246329680,+00.1977954423818,-26.264,-6.443,6.56,
*  22 Eri,055.1597209917122,-05.2107135335599,0.571,-4.588,5.53,4.81
* u Tau,056.4185125335247,+06.0499967452784,21.878,-13.646,5.337,
HD 101615,175.3324649160874,-43.0956644502906,-81.424,4.182,5.53,
HD 123888,212.7160493977414,-32.0757005004245,-18.549,0.289,6.62,
HD   2219,006.5908842619168,+49.0489910742401,-2.138,-6.257,6.93,
HD 211976,335.2324902843977,+08.1867411318608,41.248,22.133,6.163,
* i Boo A,225.9467901669609,+47.6539772391100,-332.062,87.352,5.136,
FAUST  475,041.321,-71.195,,,6.7,
HD 121122,208.7469779876773,-55.0214789959674,-26.491,6.498,6.96,
HD   8250,020.4929051225485,+12.6041666514534,35.543,-3.470,6.98,
HD  52388,105.0625642286736,-19.8012696716375,-2.098,-14.376,6.89,
HD  89713,154.9679874030761,-51.5678520684549,-37.705,13.824,6.94,
* g Psc,017.7781885244572,+31.4247266900742,-9.63,-12.63,5.152,
HD   4691,012.1719936178771,-28.4954361597021,75.483,-56.565,6.772,
V* V341 Hya,190.3071753903019,-27.9081726548140,-31.310,-6.603,6.68,
HD 205551,323.6144279148617,+51.6984654412651,3.725,-0.467,6.163,5.73
